"Species","Taxon.History.URL.ICTV"
"Alphalipothrixvirus SBFV2","ICTVonline=202108644"
"Alphalipothrixvirus SFV1","ICTVonline=202108643"
"Acidianus filamentous virus 3","ICTVonline=202101532"
"Acidianus filamentous virus 6","ICTVonline=202101533"
"Acidianus filamentous virus 7","ICTVonline=202101534"
"Acidianus filamentous virus 8","ICTVonline=202101535"
"Acidianus filamentous virus 9","ICTVonline=202101536"
"Sulfolobus islandicus filamentous virus","ICTVonline=202101537"
"Acidianus filamentous virus 2","ICTVonline=202101539"
"Deltalipothrixvirus SBFV3","ICTVonline=202108645"
"Azorudivirus SRV","ICTVonline=202111720"
"Hoswirudivirus ARV2","ICTVonline=202111716"
"Hoswirudivirus ARV3","ICTVonline=202111717"
"Hoswirudivirus MRV1","ICTVonline=202111718"
"Hoswirudivirus SSRV1","ICTVonline=202111719"
"Icerudivirus SIRV1","ICTVonline=202101546"
"Icerudivirus SIRV2","ICTVonline=202101547"
"Icerudivirus SIRV3","ICTVonline=202111709"
"Itarudivirus ARV1","ICTVonline=202101545"
"Japarudivirus SBRV1","ICTVonline=202111721"
"Mexirudivirus SMRV1","ICTVonline=202111722"
"Usarudivirus SIRV4","ICTVonline=202111710"
"Usarudivirus SIRV5","ICTVonline=202111711"
"Usarudivirus SIRV8","ICTVonline=202111712"
"Usarudivirus SIRV9","ICTVonline=202111713"
"Usarudivirus SIRV10","ICTVonline=202111714"
"Usarudivirus SIRV11","ICTVonline=202111715"
"Captovirus AFV1","ICTVonline=202101541"
"Alphatristromavirus PFV1","ICTVonline=202105323"
"Alphatristromavirus PFV2","ICTVonline=202112054"
"Betatristromavirus TTV1","ICTVonline=202105324"
"Ranid herpesvirus 1","ICTVonline=202101396"
"Ranid herpesvirus 2","ICTVonline=202101397"
"Ranid herpesvirus 3","ICTVonline=202105570"
"Anguillid herpesvirus 1","ICTVonline=202101399"
"Cyprinid herpesvirus 1","ICTVonline=202101400"
"Cyprinid herpesvirus 2","ICTVonline=202101401"
"Cyprinid herpesvirus 3","ICTVonline=202101402"
"Acipenserid herpesvirus 2","ICTVonline=202101404"
"Ictalurid herpesvirus 1","ICTVonline=202101405"
"Ictalurid herpesvirus 2","ICTVonline=202101406"
"Salmonid herpesvirus 1","ICTVonline=202101408"
"Salmonid herpesvirus 2","ICTVonline=202101409"
"Salmonid herpesvirus 3","ICTVonline=202101410"
"Gallid alphaherpesvirus 1","ICTVonline=202101414"
"Psittacid alphaherpesvirus 1","ICTVonline=202101415"
"Anatid alphaherpesvirus 1","ICTVonline=202101417"
"Columbid alphaherpesvirus 1","ICTVonline=202101418"
"Gallid alphaherpesvirus 2","ICTVonline=202101419"
"Gallid alphaherpesvirus 3","ICTVonline=202101420"
"Meleagrid alphaherpesvirus 1","ICTVonline=202101421"
"Spheniscid alphaherpesvirus 1","ICTVonline=202106397"
"Chelonid alphaherpesvirus 5","ICTVonline=202101423"
"Testudinid alphaherpesvirus 3","ICTVonline=202106398"
"Ateline alphaherpesvirus 1","ICTVonline=202101425"
"Bovine alphaherpesvirus 2","ICTVonline=202101426"
"Cercopithecine alphaherpesvirus 2","ICTVonline=202101427"
"Human alphaherpesvirus 1","ICTVonline=202101428"
"Human alphaherpesvirus 2","ICTVonline=202101429"
"Leporid alphaherpesvirus 4","ICTVonline=202101430"
"Macacine alphaherpesvirus 1","ICTVonline=202101431"
"Macacine alphaherpesvirus 2","ICTVonline=202108779"
"Macacine alphaherpesvirus 3","ICTVonline=202108780"
"Macropodid alphaherpesvirus 1","ICTVonline=202101432"
"Macropodid alphaherpesvirus 2","ICTVonline=202101433"
"Panine alphaherpesvirus 3","ICTVonline=202101434"
"Papiine alphaherpesvirus 2","ICTVonline=202101435"
"Pteropodid alphaherpesvirus 1","ICTVonline=202106395"
"Saimiriine alphaherpesvirus 1","ICTVonline=202101436"
"Bovine alphaherpesvirus 1","ICTVonline=202101440"
"Bovine alphaherpesvirus 5","ICTVonline=202101441"
"Bubaline alphaherpesvirus 1","ICTVonline=202101442"
"Canid alphaherpesvirus 1","ICTVonline=202101443"
"Caprine alphaherpesvirus 1","ICTVonline=202101444"
"Cercopithecine alphaherpesvirus 9","ICTVonline=202101445"
"Cervid alphaherpesvirus 1","ICTVonline=202101446"
"Cervid alphaherpesvirus 2","ICTVonline=202101447"
"Cervid alphaherpesvirus 3","ICTVonline=202109143"
"Equid alphaherpesvirus 1","ICTVonline=202101448"
"Equid alphaherpesvirus 3","ICTVonline=202101449"
"Equid alphaherpesvirus 4","ICTVonline=202101450"
"Equid alphaherpesvirus 8","ICTVonline=202101451"
"Equid alphaherpesvirus 9","ICTVonline=202101452"
"Felid alphaherpesvirus 1","ICTVonline=202101453"
"Human alphaherpesvirus 3","ICTVonline=202101454"
"Monodontid alphaherpesvirus 1","ICTVonline=202106396"
"Phocid alphaherpesvirus 1","ICTVonline=202101455"
"Suid alphaherpesvirus 1","ICTVonline=202101456"
"Chelonid alphaherpesvirus 6","ICTVonline=202101438"
"Aotine betaherpesvirus 1","ICTVonline=202101459"
"Cebine betaherpesvirus 1","ICTVonline=202101460"
"Cercopithecine betaherpesvirus 5","ICTVonline=202101461"
