"Species","Virus.name.abbreviations","Genome.coverage"
"Alphalipothrixvirus SBFV2","SBFV2","Complete coding genome"
"Alphalipothrixvirus SFV1","SFV1","Complete genome"
"Acidianus filamentous virus 3","AFV3","Complete genome"
"Acidianus filamentous virus 6","AFV6","Complete genome"
"Acidianus filamentous virus 7","AFV7","Complete genome"
"Acidianus filamentous virus 8","AFV8","Complete genome"
"Acidianus filamentous virus 9","AFV9","Complete genome"
"Sulfolobus islandicus filamentous virus","SIFV","Complete genome"
"Acidianus filamentous virus 2","AFV2","Complete genome"
"Deltalipothrixvirus SBFV3","SBFV3","Complete coding genome"
"Azorudivirus SRV","SRV","Complete coding genome"
"Hoswirudivirus ARV2","ARV2","Complete coding genome"
"Hoswirudivirus ARV3","ARV3","Complete coding genome"
"Hoswirudivirus MRV1","MRV1","Complete coding genome"
"Hoswirudivirus SSRV1","SSRV1","Complete coding genome"
"Icerudivirus SIRV1","SIRV1","Complete genome"
"Icerudivirus SIRV2","SIRV2","Complete genome"
"Icerudivirus SIRV3","SIRV3","Complete coding genome"
"Itarudivirus ARV1","ARV1","Complete coding genome"
"Japarudivirus SBRV1","SBRV1","Complete coding genome"
"Mexirudivirus SMRV1","SMRV1","Complete coding genome"
"Usarudivirus SIRV4","SIRV4","Complete coding genome"
"Usarudivirus SIRV5","SIRV5","Complete coding genome"
"Usarudivirus SIRV8","SIRV8","Complete coding genome"
"Usarudivirus SIRV9","SIRV9","Complete coding genome"
"Usarudivirus SIRV10","SIRV10","Complete coding genome"
"Usarudivirus SIRV11","SIRV11","Complete coding genome"
"Captovirus AFV1","AFV1","Complete genome"
"Alphatristromavirus PFV1","PFV1","Complete genome"
"Alphatristromavirus PFV2","PFV2","Complete genome"
"Betatristromavirus TTV1","TTV1","Partial genome"
"Ranid herpesvirus 1","LTHV; RaHV1","Complete genome"
"Ranid herpesvirus 2","FV4; RaHV2","Complete genome"
"Ranid herpesvirus 3","RaHV3","Complete genome"
"Anguillid herpesvirus 1","AngHV1","Complete genome"
"Cyprinid herpesvirus 1","CyHV1","Complete genome"
"Cyprinid herpesvirus 2","CyHV2","Complete genome"
"Cyprinid herpesvirus 3","KHV; CyHV3","Complete genome"
"Acipenserid herpesvirus 2","AciHV2","Partial genome"
"Ictalurid herpesvirus 1","CCV; IcHV1","Complete genome"
"Ictalurid herpesvirus 2","IcHV2","Complete genome"
"Salmonid herpesvirus 1","SalHV1","Partial genome"
"Salmonid herpesvirus 2","SalHV2","Partial genome"
"Salmonid herpesvirus 3","SalHV3","Partial genome"
"Gallid alphaherpesvirus 1","GaAHV1; ILTV","Complete genome"
"Psittacid alphaherpesvirus 1","PsAHV1; PDV","Complete genome"
"Anatid alphaherpesvirus 1","AnAHV1; DEV","Complete genome"
"Columbid alphaherpesvirus 1","CoAHV1; PHV","Complete genome"
"Gallid alphaherpesvirus 2","GaAHV2; MDV","Complete genome"
"Gallid alphaherpesvirus 3","GaAHV3","Complete genome"
"Meleagrid alphaherpesvirus 1","MeAHV1; HVT","Complete genome"
"Spheniscid alphaherpesvirus 1","SpAHV1","Complete genome"
"Chelonid alphaherpesvirus 5","ChAHV5; FPTHV","Partial genome"
"Testudinid alphaherpesvirus 3","TeAHV3; TeHV3","Complete genome"
"Ateline alphaherpesvirus 1","AtAHV1; HVA1","Complete genome"
"Bovine alphaherpesvirus 2","BoAHV2; BMV","Complete genome"
"Cercopithecine alphaherpesvirus 2","CeAHV2; SA8","Complete genome"
"Human alphaherpesvirus 1","HuAHV1; HSV1","Complete genome"
"Human alphaherpesvirus 2","HuAHV2; HSV2","Complete genome"
"Leporid alphaherpesvirus 4","LeAHV4; LHV4","Complete genome"
"Macacine alphaherpesvirus 1","McAHV1; BV","Complete genome"
"Macacine alphaherpesvirus 2","McAHV2","Complete genome"
"Macacine alphaherpesvirus 3","McAHV3","Complete genome"
"Macropodid alphaherpesvirus 1","MaAHV1","Complete genome"
"Macropodid alphaherpesvirus 2","MaAHV2","Complete genome"
"Panine alphaherpesvirus 3","PnAHV3; ChHV","Complete genome"
