"Species","Acronyms","Other.Acronyms","Other.Names"
"Bovine atadenovirus D","BAdV-D","BAdV-D","Bovine adenovirus-B, Bovine adenovirus-4, Bovine adenovirus-5, Bovine adenovirus-8, Bovine adenovirus-Rus"
"Duck atadenovirus A","DAdV-A","DAdV-A, DAdV-1","Duck adenovirus-A, Duck adenovirus-1"
"Lizard atadenovirus A","LiAdV-A","LiAdV-2","lizard adenovirus-2"
"Ovine atadenovirus D","OAdV-D","OAdV-D, GAdV-1, OAdV-7","Ovine adenovirus-D, Goat adenovirus-1, Ovine adenovirus-7"
"Possum atadenovirus A","PoAdV-A","PoADV-A, PoAdV-1","Possum adenovirus-A, Possum adenovirus-1"
"Psittacine atadenovirus A","PsAdV-A","PsAdV-3","Psittacine adenovirus 3"
"Snake atadenovirus A","SnAdV-A","SnAdV-A, SnAdV-1","Snake adenovirus-A, Snake adenovirus-1"
"Duck aviadenovirus B","DAdV-B","DAdV-B, DAdV-2","Duck adenovirus-B, Duck adenovirus-2"
"Falcon aviadenovirus A","FaAdv-A","FaAdV-A","Falcon adenovirus A"
"Fowl aviadenovirus A","FAdV-A","FAdV-A, FAdV-1","Fowl adenovirus-A, Fowl adenovirus-1"
"Fowl aviadenovirus B","FAdV-B","FAdV-B, FAdV-5","Fowl adenovirus-B, Fowl adenovirus-5"
"Fowl aviadenovirus C","FAdV-C","FAdV-C, FAdV-4, FAdV-10","Fowl adenovirus-C, Fowl adenovirus-4, Fowl adenovirus-10"
"Fowl aviadenovirus D","FAdV-D","FAdV-D, FAdV-2, FAdV-3, FAdV-9, FAdV-11","Fowl adenovirus-D, Fowl adenovirus-2, Fowl adenovirus-3, Fowl adenovirus-9, Fowl adenovirus-11"
"Fowl aviadenovirus E","FAdV-E","FAdV-E, FAdV-6, FAdV-7, FAdV-8a, FAdV-8b","Fowl adenovirus-E, Fowl adenovirus-6, Fowl adenovirus-7, Fowl adenovirus-8a, Fowl adenovirus-8b"
