"TaxaID","comment"
204729,"Culture cell line: BHK21 (Baby hamster kidney cell)"
11786,"Culture cell line: NIH 3T3  BALB/c (mouse fibroblast cells) and ratXC  Rat-1 (Rat fibroblast cells)"
11786,"Culture cell line: NIH 3T3  BALB/c (mouse fibroblast cells) and ratXC  Rat-1 (Rat fibroblast cells)"
336619,"isolation_source=""stool"""
446318,"Vector: Bemisia tabaci"
446318,"Vector: Bemisia tabaci"
446569,"Vector: Bemisia tabaci"
446569,"Vector: Bemisia tabaci"
446569,"Vector: Bemisia tabaci"
446569,"Vector: Bemisia tabaci"
546951,"isolation_source=""stool"""
546952,"isolation_source=""stool"""
546953,"isolation_source=""stool"""
546954,"isolation_source=""stool"""
546955,"isolation_source=""stool"""
546956,"isolation_source=""stool"""
546957,"isolation_source=""stool"""
546958,"isolation_source=""stool"""
546959,"isolation_source=""stool"""
546960,"isolation_source=""stool"""
546961,"isolation_source=""stool"""
546962,"isolation_source=""stool"""
546963,"isolation_source=""stool"""
546964,"isolation_source=""stool"""
546965,"isolation_source=""stool"""
546966,"isolation_source=""stool"""
546967,"isolation_source=""stool"""
546968,"isolation_source=""stool"""
546969,"isolation_source=""stool"""
546970,"isolation_source=""stool"""
546971,"isolation_source=""stool"""
546972,"isolation_source=""stool"""
546973,"isolation_source=""stool"""
546974,"isolation_source=""stool"""
546975,"isolation_source=""stool"""
546976,"isolation_source=""stool"""
546977,"isolation_source=""stool"""
546978,"isolation_source=""stool"""
546979,"isolation_source=""stool"""
546980,"isolation_source=""stool"""
546981,"isolation_source=""stool"""
546982,"isolation_source=""stool"""
546983,"isolation_source=""stool"""
546984,"isolation_source=""stool"""
546985,"isolation_source=""stool"""
546986,"isolation_source=""stool"""
546987,"isolation_source=""stool"""
707384,"isolation_source=""stool"""
707385,"isolation_source=""stool"""
707386,"isolation_source=""stool"""
707387,"isolation_source=""stool"""
707388,"isolation_source=""stool"""
714567,"isolation_source=""stool"""
758865,"Strain RF1"
114424,"See Bovine adenovirus 2 ATCC VR-314."
129950,"Culture cell line: MDBK cells"
130328,"chickens"
130310,"Culture cell line: HUVEC cells  Fetal rat CNS cells"
130310,"Culture cell line: HUVEC cells  Fetal rat CNS cells"
130310,"Culture cell line: HUVEC cells  Fetal rat CNS cells"
190064,"Culture cell line: CH-SAH cell"
190064,"Culture cell line: CH-SAH cell"
190061,"chicken embryo"
298333,"Turkey"
60869,"Culture cell line: MDBK cells"
72705,"dwarfing rootstock"
75986,"Culture cell line: dunni/N2  G355 cat cells"
75986,"Culture cell line: dunni/N2  G355 cat cells"
93986,"note=""GBV-Ctro"""
79899,"Laboratory host: house mouse"
40280,"Cltutre cell line: GMK"
40280,"Cltutre cell line: GMK"
172864,"Culture cell line: CH-SAH cells"
82470,"Culture cell line: CT BT cells"
82664,"Culture cell line: Vero cells and MA104 (african green monkey kidney cell line)"
82664,"Culture cell line: PK15 (porcine kidney cells)"
84272,"Culture cell line: BHK-21 cells  Vero cells  C6/36 cells"
84272,"Culture cell line: BHK-21 cells  Vero cells  C6/36 cells"
84272,"Culture cell line: BHK-21 cells  Vero cells  C6/36 cells"
84272,"Culture cell line: BHK-21 cells  Vero cells  C6/36 cells"
106607,"Culture cell line: MDBK cells"
106608,"Culture cell line: MDBK cells"
41862,"dwarfing rootstock"
2849477,"Culture cell line: U373-MG"
2849477,"Culture cell line: BHK-21"
123738,"Predicted host: Homo sapiens"
200154,"Culture cell line: RMK (primary rhesus monkey kidney cell)"
200154,"Predicted host: Homo sapiens"
58535,"Laboratory host: house mouse"
58535,"Laboratory host: house mouse"
150846,"Culture cell line: RD (human rhabdomyosarcoma cell)"
149596,"Culture cell line: SK-6 cells"
1001061,"Culture cell line: Vero (African green monkey kidney cells)"
1001061,"Culture cell line: BHK-21 (baby hamster kidney cells)"
172316,"Culture cell line: A-549 (Human lung tumor cells‎) and Vero (African green monkey kidney cells)"
172316,"Culture cell line: A-549 (Human lung tumor cells‎) and Vero (African green monkey kidney cells)"
172316,"Culture cell line: BHK-21 (baby hamster kidney cells)"
172317,"Culture cell line: A-549 (Human lung tumor cells‎) and Vero (African green monkey kidney cells)"
172317,"Culture cell line: A-549 (Human lung tumor cells‎) and Vero (African green monkey kidney cells)"
172317,"Culture cell line: BHK-21 (baby hamster kidney cells)"
168014,"Culture cell line: RK13 cells"
168014,"Culture cell line: RK13 cells"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
183764,"Culture cell line: the mixture of 293T (human embryonic kidney cells) and MDCK (Madin-Darby Canine Kidney cells)"
188539,"Culture cell line: RD cells  chicken embryo cells  rat embryo cells"
188539,"Culture cell line: RD cells  chicken embryo cells  rat embryo cells"
188539,"Culture cell line: RD cells  chicken embryo cells  rat embryo cells"
188539,"Culture cell line: RD cells  chicken embryo cells  rat embryo cells"
29250,"Culture cell line: IMC-Hz-1  IPLB-Ld652  IPLB-Hz-1075  IPLB-SF-21  TN368 cells\nSpodoptera frugiperda"
29250,"Culture cell line: IMC-Hz-1  IPLB-Ld652  IPLB-Hz-1075  IPLB-SF-21  TN368 cells\nSpodoptera frugiperda"
29250,"Culture cell line: IMC-Hz-1  IPLB-Ld652  IPLB-Hz-1075  IPLB-SF-21  TN368 cells\nSpodoptera frugiperda"
29250,"Culture cell line: IMC-Hz-1  IPLB-Ld652  IPLB-Hz-1075  IPLB-SF-21  TN368 cells\nSpodoptera frugiperda"
225067,"Strain: A22"
225067,"Strain: FP"
12078,"Culture cell line: Vero cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
197780,"Culture cell line: BHK-21  KC cells"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449134,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
449135,"Culture cell line: BHK-21 (Syrian hamster)"
