"virus name","TaxaID","refseq id","Genome.organization"
"Abaca bunchy top virus",438782,"NC_010314,NC_010315,NC_010316,NC_010317,NC_010318,NC_010319","Segmented"
"Abutilon Brazil virus",665102,"NC_014138,NC_014139","Segmented"
"Abutilon mosaic Bolivia virus",932071,"NC_015045,NC_015048","Segmented"
"Abutilon mosaic Brazil virus",1046572,"NC_016574,NC_016577","Segmented"
"Abutilon mosaic virus",10815,"NC_001928,NC_001929","Segmented"
"Actinidia chlorotic ringspot-associated virus",1776763,"NC_038769,NC_038770,NC_038771,NC_038772,NC_038773","Segmented"
"Adana virus",1611877,"NC_029127,NC_029128,NC_029129","Segmented"
"Adult diarrheal rotavirus strain J19",335103,"NC_007548,NC_007549,NC_007550,NC_007551,NC_007552,NC_007553,NC_007554,NC_007555,NC_007556,NC_007557,NC_007558","Segmented"
"Aedes camptorhynchus reo-like virus",2010269,"NC_035216,NC_035217,NC_035222,NC_035223","Segmented"
"Aedes pseudoscutellaris reovirus",341721,"NC_007666,NC_007667,NC_007668,NC_007669,NC_007670,NC_007671,NC_007672,NC_007673,NC_007674","Segmented"
"Aeonium ringspot virus",1962503,"NC_038761,NC_038762","Segmented"
"African cassava mosaic Burkina Faso virus",2560285,"NC_055127,NC_055128","Segmented"
"African cassava mosaic virus",10817,"NC_001467,NC_001468","Segmented"
"African cassava mosaic virus-[Cameroon]",222064,"AF112352,AF112353","Segmented"
"African cassava mosaic virus-cotton",685973,"FJ751234","Segmented"
"African horse sickness virus",40050,"NC_005996,NC_006009,NC_006011,NC_006012,NC_006016,NC_006017,NC_006018,NC_006019,NC_006020,NC_006021","Segmented"
"Ageratum latent virus 1998",2755028,"NC_022127,NC_022128,NC_022129","Segmented"
"Aguacate virus",1006583,"NC_015450,NC_015451,NC_015452","Segmented"
"Aino virus",11582,"NC_018459,NC_018460,NC_018465","Segmented"
"Akabane virus",70566,"NC_009894,NC_009895,NC_009896","Segmented"
"Alajuela virus",1552846,"NC_038715,NC_038716,NC_038717","Segmented"
"Alcube virus",1725367,"NC_055372,NC_055373,NC_055374","Segmented"
"Alenquer virus",629726,"NC_055330,NC_055331,NC_055332","Segmented"
"Alfalfa mosaic virus",12321,"NC_001495,NC_002024,NC_002025","Segmented"
"Allamanda leaf mottle distortion virus",1317107,"NC_024009,NC_040180","Segmented"
"Allpahuayo mammarenavirus",144752,"NC_010249,NC_010253","Segmented"
"Alphachrysovirus aspergilli",607716,"NC_038871,NC_038872,NC_038873,NC_038874","Segmented"
"Alphachrysovirus cerasi",284687,"NC_009944,NC_009945,NC_009946,NC_009947","Segmented"
"Alstroemeria necrotic streak virus",693450,"NC_055297,NC_055298,NC_055299","Segmented"
"Alstroemeria yellow spot virus",2212644,"NC_040741,NC_040742,NC_040743","Segmented"
"Alternaria alternata chrysovirus 1",2066695,"NC_040736,NC_040737,NC_040738,NC_040739,NC_040740","Segmented"
"Alternaria alternata virus 1",483537,"NC_010984,NC_010989,NC_010990,NC_010991","Segmented"
"Amapari virus",2886894,"NC_010247,NC_010251","Segmented"
"Amasya cherry disease-associated mycovirus",284689,"NC_006440,NC_006441","Segmented"
"Amazon lily mild mottle virus",1195163,"NC_018402,NC_018403,NC_018404","Segmented"
"Ambe virus",1926500,"NC_033835,NC_033844,NC_033845","Segmented"
"American grass carp reovirus",465447,"NC_010584,NC_010585,NC_010586,NC_010587,NC_010588,NC_010589,NC_010590,NC_010591,NC_010592,NC_010593,NC_010594","Segmented"
"American plum line pattern virus",134632,"NC_003451,NC_003452,NC_003453","Segmented"
"Anadyr virus",1642852,"NC_055199,NC_055200,NC_055201","Segmented"
"Andes orthohantavirus",1980456,"NC_003466,NC_003467,NC_003468","Segmented"
"Anhanga virus",904722,"NC_033836,NC_033837,NC_033846","Segmented"
"Anhembi virus",273355,"NC_043564,NC_043565,NC_043566","Segmented"
"Anjozorobe virus",1424613,"NC_034555,NC_034556,NC_034563","Segmented"
"Anopheles B virus",35308,"NC_038721","Segmented"
"Anopheles triannulatus orthophasmavirus",2546222,"NC_055393,NC_055394,NC_055395","Segmented"
"Anopheline-associated C virus",1398939,"NC_023682,NC_023683","Segmented"
"Anthurium mosaic-associated virus",664255,"NC_043676,NC_043677,NC_043678","Segmented"
"Apore mammarenavirus",2059312,"NC_040762,NC_040763","Segmented"
"Apple latent spherical virus",101688,"NC_003787,NC_003788","Segmented"
"Apple mosaic virus",12319,"NC_003464,NC_003465,NC_003480","Segmented"
"Apple necrotic mosaic virus",1779339,"NC_040469,NC_040470,NC_040471","Segmented"
"Apple rubbery wood virus 1",2164102,"NC_055390,NC_055391,NC_055392","Segmented"
"Apple rubbery wood virus 2",2164103,"NC_055533,NC_055534,NC_055535,NC_055536,NC_055537","Segmented"
"Apricot latent ringspot virus",136418,"NC_043411","Segmented"
"Aquareovirus C",185782,"NC_005166,NC_005167,NC_005168,NC_005169,NC_005170,NC_005171,NC_005172,NC_005173,NC_005174,NC_005175,NC_005176","Segmented"
"Arabidopsis halleri partitivirus 1",1849335,"NC_030889,NC_030890","Segmented"
"Arabis mosaic virus",12271,"NC_006056,NC_006057","Segmented"
"Arenaviridae sp. 13ZR68",1518603,"NC_038366,NC_038367","Segmented"
"Argentinian mammarenavirus",2169991,"NC_005080,NC_005081","Segmented"
"Arhar cryptic virus-I",1585924,"NC_024010,NC_024011,NC_024014","Segmented"
"Arrabida virus",1457322,"NC_029082,NC_037616,NC_037617","Segmented"
"Arracacha virus B",257463,"NC_020897,NC_020898","Segmented"
"Artashat orthonairovirus",2170061,"NC_043440,NC_043441,NC_043442","Segmented"
"Artichoke Italian latent virus",46075,"NC_043684,NC_043685","Segmented"
"Artichoke yellow ringspot virus",348894,"NC_038862","Segmented"
"Arumowot virus",904698,"NC_023633,NC_023634,NC_023635","Segmented"
"Asparagus virus 2",39681,"NC_011807,NC_011808,NC_011809","Segmented"
"Aspergillus foetidus dsRNA mycovirus",1087068,"NC_020100,NC_020101,NC_020102,NC_020103","Segmented"
"Aspergillus fumigatus partitivirus 2",2250452,"NC_040756,NC_040757","Segmented"
"Aspergillus fumigatus polymycovirus 1",2250469,"NC_040418,NC_040419,NC_040420,NC_040421","Segmented"
"Aspergillus ochraceous virus",358008,"NC_043395,NC_043396,NC_043397","Segmented"
"Asystasia mosaic Madagascar virus",1611435,"NC_026513,NC_026514","Segmented"
"Athtab bunya-like virus",2315724,"NC_040754,NC_040755","Segmented"
"Atkinsonella hypoxylon virus",37961,"NC_003470,NC_003471","Segmented"
"Avalon virus",1810950,"NC_040458,NC_040459,NC_040460","Segmented"
"Avian orthoreovirus",38170,"NC_015126,NC_015127,NC_015128,NC_015129,NC_015130,NC_015131,NC_015132,NC_015133,NC_015134,NC_015135","Segmented"
"Baboon orthoreovirus",75888,"NC_015877,NC_015878,NC_015879,NC_015880,NC_015881,NC_015882,NC_015883,NC_015884,NC_015885,NC_015886","Segmented"
"Badu phasivirus",1980609,"NC_038257,NC_038258,NC_038259","Segmented"
"Banana bunchy top virus",12585,"NC_003473,NC_003474,NC_003475,NC_003476,NC_003477,NC_003479","Segmented"
"Banna virus strain JKT-6423",649604,"NC_004198,NC_004200,NC_004201,NC_004202,NC_004203,NC_004204,NC_004211,NC_004217,NC_004218,NC_004219,NC_004220,NC_004221","Segmented"
"Barfin flounder nervous necrosis virus",43761,"NC_013458,NC_013459","Segmented"
"Barley mild mosaic virus",12466,"NC_003482,NC_003483","Segmented"
"Barley stripe mosaic virus",12327,"NC_003469,NC_003478,NC_003481","Segmented"
"Barley yellow mosaic virus",12465,"NC_002990,NC_002991","Segmented"
