"TaxaID","genome_composition","serotype","genotype"
2493123,"I: dsDNA","",""
2304198,"I: dsDNA","",""
346881,"I: dsDNA","",""
346882,"I: dsDNA","",""
346883,"I: dsDNA","",""
346884,"I: dsDNA","",""
512792,"I: dsDNA","",""
176106,"I: dsDNA","",""
300186,"I: dsDNA","",""
2493124,"I: dsDNA","",""
537009,"I: dsDNA","",""
1732175,"I: dsDNA","",""
157898,"I: dsDNA","",""
282066,"I: dsDNA","",""
157899,"I: dsDNA","",""
309181,"I: dsDNA","",""
1245909,"I: dsDNA","",""
1983550,"I: dsDNA","",""
1895333,"I: dsDNA","",""
1983545,"I: dsDNA","",""
1983546,"I: dsDNA","",""
1983547,"I: dsDNA","",""
1983549,"I: dsDNA","",""
1983548,"I: dsDNA","",""
1983551,"I: dsDNA","",""
1983552,"I: dsDNA","",""
235266,"I: dsDNA","",""
1805492,"I: dsDNA","",""
10479,"I: dsDNA","",""
1458187,"ssDNA","",""
915293,"II: ssDNA","",""
1945850,"I: dsDNA","",""
2169824,"II: ssDNA","",""
713089,"II: ssDNA","",""
666147,"II: ssDNA","",""
2169825,"II: ssDNA","",""
2601256,"ssDNA(+)","",""
2048879,"ssDNA(+)","",""
2169827,"II: ssDNA","",""
2651595,"ssDNA(+)","",""
2169828,"II: ssDNA","",""
2169829,"II: ssDNA","",""
1260769,"II: ssDNA","",""
1454227,"II: ssDNA","",""
1407058,"II: ssDNA","",""
187850,"II: ssDNA","",""
1231298,"II: ssDNA","",""
1428342,"II: ssDNA","",""
679536,"II: ssDNA","",""
2169841,"II: ssDNA","",""
1048668,"II: ssDNA","",""
656025,"II: ssDNA","",""
1428341,"II: ssDNA","",""
741733,"II: ssDNA","",""
377461,"II: ssDNA","",""
2169842,"II: ssDNA","",""
2169843,"ssDNA(+)","",""
447597,"II: ssDNA","",""
1250303,"II: ssDNA","",""
1544378,"II: ssDNA","",""
926844,"II: ssDNA","",""
743040,"II: ssDNA","",""
743041,"II: ssDNA","",""
743042,"II: ssDNA","",""
538004,"ssDNA(+)","",""
1407057,"ssDNA(+)","",""
240557,"II: ssDNA","",""
2169846,"II: ssDNA","",""
2169905,"ssDNA(+)","",""
2030126,"ssDNA(+)","",""
2169907,"II: ssDNA","",""
1705093,"II: ssDNA","",""
1249467,"II: ssDNA","",""
743026,"II: ssDNA","",""
743027,"II: ssDNA","",""
2169908,"II: ssDNA","",""
2560838,"ssDNA(+)","",""
944995,"ssDNA","",""
1705092,"ssDNA","",""
666636,"Satellite","",""
743035,"ssDNA","",""
1468596,"ssDNA","",""
713090,"ssDNA","",""
759124,"ssDNA","",""
1225644,"ssDNA","",""
1841147,"ssDNA","",""
1507725,"ssDNA","",""
661505,"ssDNA","",""
2161879,"ssDNA","",""
713091,"ssDNA","",""
551238,"Satellite","",""
1188819,"ssDNA","",""
1819678,"ssDNA","",""
656028,"ssDNA","",""
748170,"ssDNA","",""
1468597,"ssDNA","",""
944996,"ssDNA","",""
1535266,"ssDNA","",""
447598,"ssDNA","",""
96892,"ssDNA","",""
518829,"ssDNA","",""
1112202,"ssDNA","",""
1755198,"ssDNA","",""
1293961,"ssDNA","",""
1506184,"ssDNA","",""
905055,"ssDNA","",""
945250,"ssDNA","",""
1455654,"II: ssDNA","",""
1980174,"II: ssDNA","",""
1980173,"II: ssDNA","",""
1458459,"II: ssDNA","",""
1453083,"II: ssDNA","",""
1455652,"II: ssDNA","",""
1455651,"ssDNA(+)","",""
2558065,"ssDNA(+)","",""
2558066,"ssDNA(+)","",""
1441797,"II: ssDNA","",""
2052606,"ssDNA(+)","",""
1441796,"ssDNA","",""
1441799,"ssDNA","",""
1441800,"ssDNA","",""
1453080,"ssDNA","",""
1453081,"ssDNA","",""
1453082,"ssDNA","",""
1455653,"ssDNA","",""
1441798,"ssDNA","",""
1980161,"ssDNA","",""
1980165,"ssDNA","",""
1980168,"ssDNA","",""
1458458,"ssDNA","",""
2169721,"ssDNA(+)","",""
2161875,"II: ssDNA(+/-)","",""
2161877,"II: ssDNA(+/-)","",""
2161878,"II: ssDNA(+/-)","",""
2161880,"ssDNA(+)","",""
2161876,"ssDNA(+)","",""
2169722,"ssDNA(+)","",""
2169723,"ssDNA(+)","",""
2169724,"ssDNA(+)","",""
437444,"I: dsDNA","",""
1732173,"I: dsDNA","",""
1732174,"I: dsDNA","",""
1619218,"II: ssDNA(-)","",""
1629657,"II: ssDNA(-)","",""
1619219,"II: ssDNA(-)","",""
1619220,"II: ssDNA(-)","",""
687340,"II: ssDNA(-)","",""
687349,"II: ssDNA(-)","",""
687350,"ssDNA(-)","",""
687351,"ssDNA(-)","",""
687352,"II: ssDNA(-)","",""
687353,"II: ssDNA(-)","",""
687354,"II: ssDNA(-)","",""
687355,"ssDNA(-)","",""
687356,"II: ssDNA(-)","",""
687357,"II: ssDNA(-)","",""
687358,"II: ssDNA(-)","",""
687341,"II: ssDNA(-)","",""
687359,"II: ssDNA(-)","",""
687360,"II: ssDNA(-)","",""
687361,"II: ssDNA(-)","",""
687362,"ssDNA(-)","",""
687363,"II: ssDNA(-)","",""
687364,"II: ssDNA(-)","",""
687365,"II: ssDNA(-)","",""
687366,"ssDNA(-)","",""
687367,"ssDNA(-)","",""
687368,"II: ssDNA(-)","",""
687342,"II: ssDNA(-)","",""
687343,"II: ssDNA(-)","",""
687344,"II: ssDNA(-)","",""
687345,"II: ssDNA(-)","",""
687346,"II: ssDNA(-)","",""
687347,"ssDNA(-)","",""
687348,"II: ssDNA(-)","",""
1629656,"II: ssDNA(-)","",""
687369,"II: ssDNA(-)","",""
2065036,"II: ssDNA(-)","",""
2065037,"II: ssDNA(-)","",""
2065038,"II: ssDNA(-)","",""
1535291,"II: ssDNA(-)","",""
687370,"II: ssDNA(-)","",""
1535290,"II: ssDNA(-)","",""
687371,"II: ssDNA(-)","",""
1859149,"II: ssDNA(-)","",""
687372,"II: ssDNA(-)","",""
687373,"II: ssDNA(-)","",""
687374,"II: ssDNA(-)","",""
687375,"II: ssDNA(-)","",""
687376,"II: ssDNA(-)","",""
687377,"II: ssDNA(-)","",""
93678,"II: ssDNA(-)","",""
2010248,"II: ssDNA(-)","",""
