"virus name","TaxaID","refseq id","Genome.organization"
"AKR (endogenous) murine leukemia virus",11791,"J01998","Linear"
"Abalone herpesvirus Victoria/AUS/2009",1241371,"NC_018874","Linear"
"Abalone shriveling syndrome-associated virus",491893,"NC_011646","Linear"
"Abelson murine leukemia virus",11788,"NC_001499","Linear"
"Abisko virus",2025595,"NC_035470","Linear"
"Abutilon golden mosaic Yucatan virus",1312723,"NC_038438","Linear"
"Acanthamoeba castellanii mamavirus",554168,"JF801956","Linear"
"Acanthamoeba polyphaga mimivirus",212035,"NC_014649","Linear"
"Acanthamoeba polyphaga moumouvirus",1269028,"NC_020104","Linear"
"Acanthocystis turfacea chlorella virus 1",322019,"NC_008724","Linear"
"Acartia tonsa copepod circovirus",1168547,"NC_020099","Linear"
"Acheta domestica densovirus",185639,"NC_004290","Linear"
"Acheta domestica mini ambidensovirus",1404345,"NC_022564","Linear"
"Acheta domesticus volvovirus",1291515,"NC_021074","Linear"
"Achimota virus 1",1261100,"NC_025403","Linear"
"Achimota virus 2",1261101,"NC_025404","Linear"
"Acholeplasma phage MV-L51",1977403,"NC_001341","Linear"
"Achromobacter phage 83-24",1589747,"NC_028834","Linear"
"Achromobacter phage JWAlpha",1416009,"NC_023556","Linear"
"Achromobacter phage JWDelta",1416008,"KF787094","Linear"
"Achromobacter phage JWF",1589748,"NC_029075","Linear"
"Achromobacter phage JWX",1589746,"NC_028768","Linear"
"Achromobacter phage Mano",2767570,"NC_054147","Linear"
"Achromobacter phage Motura",2591403,"NC_049849","Linear"
"Achromobacter phage phiAxp-1",1610509,"NC_029033","Linear"
"Achromobacter phage phiAxp-2",1664246,"NC_029106","Linear"
"Achromobacter phage phiAxp-3",1664247,"NC_028908","Linear"
"Achromobacter phage vB_AchrS_AchV4",2796514,"NC_052974","Linear"
"Achromobacter phage vB_AxyP_19-32_Axy04",2591039,"NC_054967","Linear"
"Achromobacter phage vB_AxyP_19-32_Axy10",2591041,"NC_054971","Linear"
"Achromobacter phage vB_AxyP_19-32_Axy11",2591042,"NC_054972","Linear"
"Achromobacter phage vB_AxyP_19-32_Axy12",2591043,"NC_054968","Linear"
"Achromobacter phage vB_AxyP_19-32_Axy24",2591048,"NC_054969","Linear"
"Acidianus bottle-shaped virus",437444,"NC_009452","Linear"
"Acidianus bottle-shaped virus 2 strain ABV2",1732173,"NC_028938","Linear"
"Acidianus bottle-shaped virus 3 strain ABV3",1732174,"NC_028787","Linear"
"Acidianus filamentous virus 2",300186,"NC_009884","Linear"
"Acidianus filamentous virus 3",346881,"NC_010155","Linear"
"Acidianus filamentous virus 6",346882,"NC_010152","Linear"
"Acidianus filamentous virus 7",346883,"NC_010153","Linear"
"Acidianus filamentous virus 8",346884,"NC_010154","Linear"
"Acidianus filamentous virus 9",512792,"NC_010537","Linear"
"Acidianus rod-shaped virus 1",309181,"NC_009965","Linear"
"Acidianus rod-shaped virus 2",1732175,"NC_029314","Linear"
"Acidianus spindle-shaped virus 1",693629,"NC_013585","Linear"
"Acidianus tailed spindle virus",1797140,"NC_029316","Linear"
"Acidianus two-tailed virus",315953,"NC_007409","Linear"
"Acidithiobacillus phage AcaML1",1229761,"JX507079","Linear"
"Acidovorax phage ACP17",2010329,"NC_041997","Linear"
"Acinetobacter phage 133",2919552,"NC_015250","Linear"
"Acinetobacter phage AB1",889876,"NC_042028","Linear"
"Acinetobacter phage AB3",1273713,"NC_021337","Linear"
"Acinetobacter phage AM101",2178927,"NC_049511","Linear"
"Acinetobacter phage AP205",154784,"NC_002700","Linear"
"Acinetobacter phage AP22",1187128,"NC_017984","Linear"
"Acinetobacter phage AbKT21phiIII",2500826,"NC_048142","Linear"
"Acinetobacter phage AbP2",2015804,"NC_041998","Linear"
